掩码,特征码,固定位掩码,固定位码,操作码位掩码,操作数位掩码,指令名
1111111000000000,0001100000000000,1100000000000000,0000000000000000,0011111000000000,0000000111111111,ADD (register),
1111111000000000,0001101000000000,1100000000000000,0000000000000000,0011111000000000,0000000111111111,SUB (register),
1111100000000000,0001000000000000,1100000000000000,0000000000000000,0011111000000000,0000000111111111,ASR (immediate),
1111100000000000,0000000000000000,1100000000000000,0000000000000000,0011111000000000,0000000111111111,LSL (immediate),
1111100000000000,0000100000000000,1100000000000000,0000000000000000,0011111000000000,0000000111111111,LSR (immediate),
1111111000000000,0001110000000000,1100000000000000,0000000000000000,0011111000000000,0000000111111111,ADD (immediate),
1111111000000000,0001111000000000,1100000000000000,0000000000000000,0011111000000000,0000000111111111,SUB (immediate),
1111100000000000,0010000000000000,1100000000000000,0000000000000000,0011111000000000,0000000111111111,MOV (immediate),
1111100000000000,0010100000000000,1100000000000000,0000000000000000,0011111000000000,0000000111111111,CMP (immediate),
1111100000000000,0011000000000000,1100000000000000,0000000000000000,0011111000000000,0000000111111111,ADD (immediate),
1111100000000000,0011100000000000,1100000000000000,0000000000000000,0011111000000000,0000000111111111,SUB (immediate),
1111111111000000,0100000000000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,AND (register),
1111111111000000,0100000001000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,EOR (register),
1111111111000000,0100000010000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,LSL (register),
1111111111000000,0100000011000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,LSR (register),
1111111111000000,0100000100000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,ASR (register),
1111111111000000,0100000101000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,ADC (register),
1111111111000000,0100000110000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,SBC (register),
1111111111000000,0100000111000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,ROR (register),
1111111111000000,0100001000000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,TST (register),
1111111111000000,0100001001000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,RSB (immediate),
1111111111000000,0100001010000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,CMP (register),
1111111111000000,0100001011000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,CMN (register),
1111111111000000,0100001100000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,ORR (register),
1111111111000000,0100001101000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,MUL,
1111111111000000,0100001110000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,BIC (register),
1111111111000000,0100001111000000,1111110000000000,0100000000000000,0000001111000000,0000000000111111,MVN (register),
1111111100000000,0100010000000000,1111110000000000,0100010000000000,0000001111000000,0000000000111111,ADD (register),
1111111111000000,0100010100000000,1111110000000000,0100010000000000,0000001111000000,0000000000111111,UNPREDICTABLE,
1111111111000000,0100010101000000,1111110000000000,0100010000000000,0000001111000000,0000000000111111,CMP (register),
1111111110000000,0100010110000000,1111110000000000,0100010000000000,0000001111000000,0000000000111111,CMP (register),
1111111100000000,0100011000000000,1111110000000000,0100010000000000,0000001111000000,0000000000111111,MOV (register),
1111111110000000,0100011100000000,1111110000000000,0100010000000000,0000001111000000,0000000000111111,BX,
1111111110000000,0100011110000000,1111110000000000,0100010000000000,0000001111000000,0000000000111111,BLX (register),
1111111000000000,0101000000000000,0000000000000000,0000000000000000,1111111000000000,0000000111111111,STR (register),
1111111000000000,0101001000000000,0000000000000000,0000000000000000,1111111000000000,0000000111111111,STRH (register),
1111111000000000,0101010000000000,0000000000000000,0000000000000000,1111111000000000,0000000111111111,STRB (register),
